Serial No,App Name,Review Comments
1,CardioSmart Heart Explorer,
,,"Great app!! very useful, Especially for a student like myself who specializes in Cardiac Sonography."
,,"Good,but the ads are disturbing."
,,Thanks for putting this app.for refreshing
,,very helpful this app is great
,,Its nicest medical app
,,Not opening
,,Well I am a med student and this app helped me with somethings regarding heart disease.
,,"I am willing to known about heart problems and this app helped me lot to get information about heart
 problems , causes , symptoms"
,,It's really great for the fire/EMS field
,,This is simply helpful.
,,A really useful app for Med students.
,,Good App
,,Nice
,,Good
,,"Nice app gives you a nice start in studing cardiology thanks alot and hope you do that for all branches 
of internal medicine"
,,Amazing app I never saw such a free and very easy app before
,,Very informative app Good information about general disorders
,,Nice app
,,Very good information
,,Good Hmm
,,Interesting
,,Good
,,Nice
2,All Blood Disease and Treatment A-Z,
,,"Easy to read and use, however too vague. Wish it a natural foods, holistic approach also"
,,"Concerned. You are mis informing people and this can create stigmas. E. G. Hiv undetectable =
 untransmitable. But you misinform that one can still infect other people..... Once a person is 
undetectable it is not possible to pas the virus through unprotected sex... (blood to blood is possible)
 however if hiv+ person contracts another illness or doesn't take the treatment it is possible that vital
 load can peak and once again be detectable for a period of time. You should be fully informed."
,,"Another medical app that has an ad bar at the bottom that you can't get rid of which prevents you
 from advancing the app to the next section. Deleting it!"
,,"All blood diseases is extremely misleading! Try a small few, and repeated. This needs to be removed."
,,"Only One Problem"" the text is to small, other than that this APP is absolutely vital!!!"
,,Awesome app! Would definitely recommended.
,,Very good and quality
,,Very good app
,,Exceptionally great app. I love it
,,"So far these apps written PATRIKAT SOFTECH are the best ever am trying to download each of
 there products."
,,Very informative..great info
,,Best so far on disease details
,,Super and more learn in this app
,,usable....amazing apps
,,my hoby is always to read to solve the problem thanks for giving good knowledge
,,It does not contain ALL blood diseases i.e. Spero cytosis please adjust accirdingly.
,,It has nothing on Hepatitis ! That's also blood dessis ! Please write something on Hepatitis. Thanks
,,"somehow, need to improve"
,,"It has educate me on home management of SCD, it's great,Tks to u"
,,HIV positive thoughts and feelings what medicine taking
,,Not an extensive list of subject matter.
